case_id,source_origin,condition,threshold,dice,iou,predicted_components,eligible_reference_components,component_to_reference_ratio,fp_components,fp_volume_ml,iou_0p10_recall,iou_0p25_recall,any_overlap_recall,predicted_foreground_volume_ml,median_component_volume_ml,p90_component_volume_ml,largest_component_volume_ml,largest_component_volume_fraction,fraction_components_lt_0p1ml,fraction_components_lt_0p5ml
coronacases_008,Coronacases,pixel_dropout_matched_50,0.6000000238418579,0.12907457489281923,0.0689896952388815,738,33,22.363636363636363,736,3309.647834268706,0.06060606060606061,0.030303030303030304,0.12121212121212122,3557.9882998004246,0.005250582280570058,0.18424293222520344,3493.08795246321,0.9817592577972066,0.8495934959349594,0.9579945799457995
coronacases_008,Coronacases,pixel_dropout_matched_50,0.699999988079071,0.17392395761434984,0.09524464128401215,669,33,20.272727272727273,667,2234.6777469296158,0.06060606060606061,0.030303030303030304,0.12121212121212122,2475.142339040479,0.007875873420855087,0.20613786033518056,1689.1149449505278,0.6824314377028253,0.8221225710014948,0.9506726457399103
coronacases_008,Coronacases,pixel_dropout_matched_50,0.800000011920929,0.2299372684686046,0.12990345730270872,675,33,20.454545454545453,669,1481.4376138906844,0.18181818181818182,0.06060606060606061,0.2727272727272727,1711.5569837341404,0.012076339245311133,0.39977933484260464,528.4070494355534,0.3087288676084371,0.7896296296296297,0.9096296296296297
coronacases_008,Coronacases,pixel_dropout_matched_50,0.8999999761581421,0.31218499260250593,0.18496398671313855,744,33,22.545454545454547,736,864.820782141554,0.24242424242424243,0.21212121212121213,0.2727272727272727,1078.4260205961614,0.013388984815453649,0.48520630854747987,382.9506935751491,0.3551014963116815,0.7862903225806451,0.9005376344086021
coronacases_008,Coronacases,component_natural_50,0.10000000149011612,0.0714897041687085,0.03706991055388305,243,33,7.363636363636363,243,7017.492477880653,0.0,0.0,0.030303030303030304,7288.381569016278,0.002100232912228023,0.05964661470727599,7237.910346844299,0.9930751125343742,0.9176954732510288,0.9711934156378601
coronacases_008,Coronacases,component_natural_50,0.20000000298023224,0.09618877799234446,0.05052432556359712,229,33,6.9393939393939394,229,4775.841957682439,0.0,0.0,0.030303030303030304,5031.79156705516,0.005250582280570058,0.2851066178349542,3081.123066263859,0.6123312194481609,0.8165938864628821,0.9301310043668122
coronacases_008,Coronacases,component_natural_50,0.30000001192092896,0.1133508434357845,0.06008050995671511,239,33,7.242424242424242,237,3771.921174589339,0.06060606060606061,0.0,0.12121212121212122,4015.9650886408667,0.00630069873668407,0.2635792304846171,2253.8849019701693,0.5612311990323993,0.8535564853556485,0.9246861924686193
coronacases_008,Coronacases,component_natural_50,0.4000000059604645,0.12916326923079724,0.06904037487958192,236,33,7.151515151515151,234,3083.750457637056,0.06060606060606061,0.030303030303030304,0.18181818181818182,3316.6773138259327,0.007613344306826584,0.4998554331102695,1799.597697298283,0.542590528718746,0.8008474576271186,0.8983050847457628
coronacases_008,Coronacases,component_natural_50,0.5,0.1453565029592514,0.07837436315452584,265,33,8.030303030303031,261,2541.6057847226193,0.12121212121212122,0.09090909090909091,0.21212121212121213,2763.5331960919298,0.008925989876969099,0.43947373688371383,1396.3718802467126,0.5052850033505666,0.7886792452830189,0.909433962264151
coronacases_008,Coronacases,component_natural_50,0.6000000238418579,0.16351755412157767,0.0890384520083797,281,33,8.515151515151516,277,2072.6936081664335,0.12121212121212122,0.09090909090909091,0.30303030303030304,2283.066588169121,0.00630069873668407,0.5282085774253479,1164.2368118657457,0.5099443081944413,0.8113879003558719,0.896797153024911
coronacases_008,Coronacases,component_natural_50,0.699999988079071,0.1861413621842941,0.10262175800449931,276,33,8.363636363636363,268,1634.0825419514172,0.24242424242424243,0.15151515151515152,0.3333333333333333,1831.5380394274466,0.0073508151927980814,0.8353676408386963,536.3585312412487,0.29284596863132506,0.7862318840579711,0.8659420289855072
coronacases_008,Coronacases,component_natural_50,0.800000011920929,0.21652000794844012,0.12140310455592741,287,33,8.696969696969697,277,1208.5564518378094,0.30303030303030304,0.21212121212121213,0.42424242424242425,1390.4891278595621,0.011026222789197121,1.0845602758745514,410.62126219375335,0.2953070642313038,0.7700348432055749,0.867595818815331
coronacases_008,Coronacases,component_natural_50,0.8999999761581421,0.2652822588904719,0.15292531609251714,295,33,8.93939393939394,284,754.9234697180824,0.3333333333333333,0.18181818181818182,0.45454545454545453,914.7228411943199,0.010501164561140116,2.2765474652095747,195.94227966276955,0.2142094532229401,0.7389830508474576,0.8338983050847457
coronacases_008,Coronacases,component_fixed_50,0.10000000149011612,0.03449578529724437,0.01755060357500235,226,33,6.848484848484849,226,15270.338804384459,0.0,0.0,0.030303030303030304,15543.432615019703,0.00997610633308311,0.18718325830232257,14935.309125167618,0.9608758563880895,0.8053097345132744,0.9557522123893806
coronacases_008,Coronacases,component_fixed_50,0.20000000298023224,0.036148208434416546,0.018406790466402347,209,33,6.333333333333333,209,14254.710797980371,0.0,0.0,0.06060606060606061,14522.432737884363,0.011026222789197121,0.23974158693082906,13942.753752479039,0.9600838925634596,0.8516746411483254,0.9425837320574163
coronacases_008,Coronacases,component_fixed_50,0.30000001192092896,0.03737032113485856,0.019040943657016,227,33,6.878787878787879,226,13526.427207579218,0.030303030303030304,0.030303030303030304,0.12121212121212122,13789.505532514271,0.013126455701425146,0.37562665635198217,13316.6974239059,0.965712468261205,0.7973568281938326,0.9162995594713657
coronacases_008,Coronacases,component_fixed_50,0.4000000059604645,0.03881306026267588,0.019790596947313138,268,33,8.121212121212121,267,12757.555040974574,0.030303030303030304,0.030303030303030304,0.12121212121212122,13015.774477067187,0.006825756964741076,0.3770443135677363,12608.382322975982,0.9687001219321217,0.8395522388059702,0.9216417910447762
coronacases_008,Coronacases,component_fixed_50,0.5,0.050577662581891655,0.02594494872202947,1039,33,31.484848484848484,1038,9478.76697900169,0.030303030303030304,0.030303030303030304,0.12121212121212122,9732.217836267093,0.0015751746841710175,0.028983214188746744,9395.13570443677,0.9653643046732692,0.9422521655437921,0.9769008662175168
