condition,case_id,source_origin,voxel_threshold,prediction_components,eligible_references,true_positives,false_positives,neutral_small,recall
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.2,162,28,0,162,0,0.0
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.3,208,28,1,207,0,0.03571428571428571
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.4,190,28,2,188,0,0.07142857142857142
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.5,194,28,4,190,0,0.14285714285714285
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.6,223,28,4,219,0,0.14285714285714285
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.7,255,28,5,250,0,0.17857142857142858
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.8,267,28,9,258,0,0.32142857142857145
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.85,253,28,10,243,0,0.35714285714285715
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.9,281,28,10,271,0,0.35714285714285715
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.925,265,28,9,256,0,0.32142857142857145
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.95,281,28,11,270,0,0.39285714285714285
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.96,277,28,11,266,0,0.39285714285714285
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.97,282,28,10,271,1,0.35714285714285715
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.98,299,28,10,289,0,0.35714285714285715
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.985,278,28,10,268,0,0.35714285714285715
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.99,261,28,8,253,0,0.2857142857142857
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.9925,233,28,8,225,0,0.2857142857142857
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.995,240,28,6,234,0,0.21428571428571427
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.9975,200,28,5,195,0,0.17857142857142858
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.999,140,28,1,139,0,0.03571428571428571
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,0.9995,126,28,1,125,0,0.03571428571428571
component_natural_50,radiopaedia_14_85914_0,Radiopaedia,1.000001,0,28,0,0,0,0.0
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.1,755,13,0,755,0,0.0
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.2,673,13,1,672,0,0.07692307692307693
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.3,447,13,2,445,0,0.15384615384615385
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.4,462,13,2,460,0,0.15384615384615385
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.5,461,13,2,459,0,0.15384615384615385
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.6,433,13,2,431,0,0.15384615384615385
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.7,472,13,2,470,0,0.15384615384615385
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.8,552,13,3,549,0,0.23076923076923078
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.85,556,13,4,552,0,0.3076923076923077
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.9,560,13,5,555,0,0.38461538461538464
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.925,585,13,5,580,0,0.38461538461538464
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.95,594,13,5,589,0,0.38461538461538464
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.96,592,13,5,587,0,0.38461538461538464
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.97,556,13,6,550,0,0.46153846153846156
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.98,498,13,8,490,0,0.6153846153846154
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.985,456,13,7,449,0,0.5384615384615384
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.99,440,13,9,431,0,0.6923076923076923
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.9925,413,13,9,404,0,0.6923076923076923
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.995,355,13,8,347,0,0.6153846153846154
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.9975,355,13,8,347,0,0.6153846153846154
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.999,286,13,6,280,0,0.46153846153846156
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,0.9995,228,13,4,224,0,0.3076923076923077
component_natural_50,radiopaedia_27_86410_0,Radiopaedia,1.000001,0,13,0,0,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.1,167,8,0,167,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.2,202,8,0,202,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.3,209,8,0,209,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.4,200,8,0,200,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.5,1027,8,0,1027,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.6,574,8,0,574,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.7,506,8,0,506,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.8,341,8,0,341,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.85,326,8,0,326,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.9,274,8,0,274,0,0.0
component_fixed_50,coronacases_004,Coronacases,0.925,275,8,1,274,0,0.125
component_fixed_50,coronacases_004,Coronacases,0.95,290,8,1,289,0,0.125
component_fixed_50,coronacases_004,Coronacases,0.96,283,8,2,281,0,0.25
component_fixed_50,coronacases_004,Coronacases,0.97,286,8,2,284,0,0.25
component_fixed_50,coronacases_004,Coronacases,0.98,291,8,2,288,1,0.25
component_fixed_50,coronacases_004,Coronacases,0.985,285,8,2,282,1,0.25
component_fixed_50,coronacases_004,Coronacases,0.99,249,8,2,247,0,0.25
component_fixed_50,coronacases_004,Coronacases,0.9925,261,8,2,259,0,0.25
component_fixed_50,coronacases_004,Coronacases,0.995,275,8,2,273,0,0.25
component_fixed_50,coronacases_004,Coronacases,0.9975,275,8,3,272,0,0.375
component_fixed_50,coronacases_004,Coronacases,0.999,276,8,3,273,0,0.375
component_fixed_50,coronacases_004,Coronacases,0.9995,258,8,3,255,0,0.375
component_fixed_50,coronacases_004,Coronacases,1.000001,0,8,0,0,0,0.0
component_fixed_50,coronacases_008,Coronacases,0.1,226,33,0,226,0,0.0
